entity_id,num_source_files,source_files,company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes,company_status,stage,one_liner
ENT-000570,1,env_labs_standardized.csv,Food Safety Net Services,,TNI02720,,Dodge City,Kansas,,,env_labs,,,,,,,,
ENT-000571,1,env_labs_standardized.csv,Fort Pierce Utilities Authority Water Treatment Plant,,TNI00450,,Ft. Pierce,Florida,,,env_labs,,,,,,,,
ENT-000572,1,env_labs_standardized.csv,Fort Worth Water Department Centralized Water & Wastewater Laboratory,,TNI00013,,Fort Worth,Texas,,,env_labs,,,,,,,,
ENT-000573,1,env_labs_standardized.csv,Four Rivers Sanitation Authority,,TNI02046,,Rockford,Illinois,,,env_labs,,,,,,,,
ENT-000574,1,env_labs_standardized.csv,"Friedman & Bruya, Inc",,TNI00216,,Seattle,Washington,,,env_labs,,,,,,,,
ENT-000575,1,env_labs_standardized.csv,Frontier Analytical Laboratory,,TNI01220,,El Dorado Hills,California,,,env_labs,,,,,,,,
ENT-000576,1,env_labs_standardized.csv,FRONTIER TECHNICAL ASSOC INC,,TNI01557,,WILLIAMSVILLE,New York,,,env_labs,,,,,,,,
ENT-000577,1,env_labs_standardized.csv,FULTON SEWAGE TREATMENT PLANT,,TNI01506,,FULTON,New York,,,env_labs,,,,,,,,
ENT-000578,1,env_labs_standardized.csv,"Future Laboratories, Inc.",,TNI00453,,Milton,Florida,,,env_labs,,,,,,,,
ENT-000579,1,env_labs_standardized.csv,"Gabriel Laboratories, Ltd.",,TNI02032,,Chicago,Illinois,,,env_labs,,,,,,,,
ENT-000580,1,env_labs_standardized.csv,Garden City Municipal Wastewater Laboratory,,TNI01897,,Garden City,Kansas,,,env_labs,,,,,,,,
ENT-000581,1,env_labs_standardized.csv,GARDEN STATE LABORATORIES INC,,TNI01287,,HILLSIDE,New Jersey,,,env_labs,,,,,,,,
ENT-000582,1,env_labs_standardized.csv,GASPORT SD#1 STP,,TNI01609,,GASPORT,New York,,,env_labs,,,,,,,,
