company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes,company_status,stage,one_liner
"PSYCHOGENICS, INC.",,1R43DA061847-01A1,,Paramus,NJ,07652,,nih_reporter,,Jodi Ellen Gresack,,,,,,
DORO MIND INC.,,1R43DA064245-01,,Albany,NY,122072922,,nih_reporter,,Stephanie Morgan Greer,,,,,,
"PARABON NANOLABS, INC.",,1R43AI192177-01A1,,Reston,VA,201905227,,nih_reporter,,Janet  Cady,,,,,,
"PROTEOVISTA, LLC",,1R43GM163471-01,,Madison,WI,537191266,,nih_reporter,,Mary Szatkowski Ozers,,,,,,
LC ACQUISITION LLC,,1R43DA064719-01,,Dallas,TX,752156857,,nih_reporter,,Milton L. Lee,,,,,,
PILLSMART INC.,,1R43DA065414-01,,Brooklyn,NY,112012696,,nih_reporter,,Sivabalaji  Kaliamurthy,,,,,,
EDI THERAPEUTICS LLC,,1R41DA064269-01,,Rochester,NY,146420001,,nih_reporter,,Martin  Graham,,,,,,
"GLIMPSE DIAGNOSTICS, INC.",,1R43DC023832-01,,Minneapolis,MN,554131037,,nih_reporter,,Courtney  Hill,,,,,,
"VIROGENOMICS BIODEVELOPMENT, INC.",,1R41DA064189-01,,Tigard,OR,972232300,,nih_reporter,,Renee Lynn Shirley,,,,,,
"THRIVE GENETICS, INC",,1R41DA062382-01,,Newtown Square,PA,19073,,nih_reporter,,Danielle M Dick,,,,,,
"PRAEVENTIX, LLC",,1R43DA064569-01,,Exton,PA,193411139,,nih_reporter,,Benjamin  Blass,,,,,,
TIBBLING TECHNOLOGIES LLC,,1R43DA064222-01,,Redmond,WA,980525727,,nih_reporter,,Asim  Iqbal,,,,,,
"IPACES, LLC",,3R44NS132690-03S1,,Clifton Park,NY,12065,,nih_reporter,,Paul J Arciero,,,,,,
"VELAKOR BIOTHERAPEUTICS, INC.",,1R44HL182393-01,,New York,NY,100031502,,nih_reporter,,Kfir  Umansky,,,,,,
ADVANCED VIROLOGY INC.,,1R43IP001282-01,,Athens,OH,457011565,,nih_reporter,,Nishank  Bhalla,,,,,,
XR NAVIGATION INC.,,1R44EY036316-01A1,,Gilroy,CA,950203005,,nih_reporter,,Brandon  Biggs,,,,,,
"FOOD ENTERPRISE SOLUTIONS, LLC",,1R43FD008553-01,,Springfield,VA,221512708,,nih_reporter,,Russell Martin Webster,,,,,,
HAWAI'I INNOVATION INC.,,6R43OH012845-01M003,,Honolulu,HI,968221862,,nih_reporter,,M Arifur  Rahman,,,,,,
N'WAII INC.,,1R43EY037632-01A1,,Naperville,IL,605645854,,nih_reporter,,Rajan  Giri,,,,,,
"ELECTRIC INDIGO, LLC",,1R43EY038143-01,,Birmingham,AL,352032510,,nih_reporter,,Rafael  Grytz,,,,,,
"MOLECULAR INSTRUMENTS, INC.",,1R43GM163490-01,,Los Angeles,CA,900412087,,nih_reporter,,Harry Ming Tak Choi,,,,,,
"INTERLINK ELECTRONICS, INC",,1R43FD008554-01,,Irvine,CA,926182870,,nih_reporter,,Mel  Findlay,,,,,,
APTUS BIOSCIENCES LLC,,1R43PS005315-01,,Alachua,FL,326156837,,nih_reporter,,Bharat  Gawande,,,,,,
"BLUEBIRD PHOTONICS, INC",,1R43EY038160-01,,Wayland,MA,017783824,,nih_reporter,,Jongyoon  Joo,,,,,,
"NANOHMICS, INC.",,2R44CK000679-02A1,,Austin,TX,787417510,,nih_reporter,,John  Bruno,,,,,,
"SKM INSTRUMENTS, LLC",,1R43JG000004-01A1,,Laramie,WY,82070,,nih_reporter,,Keith  Carron,,,,,,
ARETE BIOSCIENCES,,1R43PS005313-01,,Chicago,IL,606544342,,nih_reporter,,Sujit  Jangam,,,,,,
"QUANTUMBIO, INC.",,1R44GM163476-01,,State College,PA,168012600,,nih_reporter,,Lance M Westerhoff,,,,,,
"KURIA THERAPEUTICS, INC",,1R44EY038121-01,,Little Rock,AR,722073706,,nih_reporter,,Keith W Ward,,,,,,
"SEACOAST SCIENCE, INC.",,2R44OH012498-02,,Carlsbad,CA,920111508,,nih_reporter,,Sanjay V Patel,,,,,,
"ADVANCED COOLING TECHNOLOGIES, INC.",,2R44FD007709-02,,Lancaster,PA,176015606,,nih_reporter,,Prawal  Agarwal,,,,,,
PACE DIAGNOSTICS,,1R43JG000003-01A1,,Monrovia,CA,910164838,,nih_reporter,,Hiep-Hoa  Nguyen,,,,,,
"ESPER BIOSCIENCES, INC.",,1R43PS005314-01,,Ithaca,NY,148503608,,nih_reporter,,Jonathan  Alden,,,,,,
"NEOVASCULARX, INC",,1R43EY038159-01,,San Jose,CA,94110,,nih_reporter,,Hiroaki  Serizawa,,,,,,
"CHROMOLOGIC, LLC",,1R43OH012965-01A1,,Monrovia,CA,910164244,,nih_reporter,,Dmitriy V Zhukov,,,,,,
HAWAI'I INNOVATION INC.,,1R43OH012845-01,,Honolulu,HI,968221862,,nih_reporter,,M Arifur  Rahman,,,,,,
"LO BIOSCIENCES, INC.",,2R44PS005271-02,,Rockville,MD,208522176,,nih_reporter,,Maria De Los Angeles Jaime,,,,,,
"REVBIO, INC.",,1R44AG097243-01,,Lowell,MA,018543643,,nih_reporter,,Brittany  Mcdonough,,,,,,
KOMMODO HOLDINGS CORP.,,1R41AI184248-01A1,,Shoreview,MN,551264812,,nih_reporter,,Nicole J. Shirkey-Son,,,,,,
"EYSZ, INC.",,1R44NR021881-01A1,,Berkeley,CA,94705,,nih_reporter,,Rachel  Kuperman,,,,,,
"RENOVATE BIOSCIENCES, INC.",,1R43DK142463-01,,Reisterstown,MD,211363827,,nih_reporter,,Park  Kieun,,,,,,
"SHASQI, INC.",,1R44CA306491-01,,San Francisco,CA,941072285,,nih_reporter,,Jesse Mischa Mcfarland,,,,,,
"MESA SCIENCE ASSOCIATES, INC.",,1R44AI191943-01,,Frederick,MD,21703,,nih_reporter,,Gerry R Boss,,,,,,
"SYNTR HEALTH TECHNOLOGIES, LLC",,2R44TR004975-02A1,,Irvine,CA,926170000,,nih_reporter,,Ahmed Nabil Zobi,,,,,,
"LO BIOSCIENCES, INC.",,1R43AG097214-01,,Rockville,MD,208522176,,nih_reporter,,Sasank  Vemulapati,,,,,,
"VIVA VIRAL VACCINES, INC.",,1R41AI195180-01,,Ithaca,NY,148505627,,nih_reporter,,David William Buchholz,,,,,,
"WYNNVISION, LLC",,1R44NS139774-01A1,,Richmond,VA,232191551,,nih_reporter,,Carolyn A Harris,,,,,,
"QUANT, INC.",,9R44MH144704-02A1,,Edmonds,WA,980206618,,nih_reporter,,Larry  Pierce,,,,,,
SPHERIC BIO INC,,1R43HL180201-01,,Wilmington,DE,19801,,nih_reporter,,Connor  Verheyen,,,,,,
NANOCAN THERAPEUTICS CORPORATION,,2R42CA268623-02,,Princeton,NJ,085406235,,nih_reporter,,Kai  Ding,,,,,,
"LUNA BIOSCIENCE, INC.",,1R41AI188742-01A1,,Westport,CT,068802913,,nih_reporter,,Carla Ellen Devillers,,,,,,
"NEUROLUX, INC.",,1R43MH143569-01,,Champaign,IL,618207460,,nih_reporter,,Cameron  Good,,,,,,
LYBRA BIO INC.,,1R43AI194889-01,,Allston,MA,021341008,,nih_reporter,,Nuria  Puigmal,,,,,,
"ZENVAX, LLC",,1R41AI188656-01,,Helotes,TX,78023,,nih_reporter,,Guoquan  Zhang,,,,,,
"VENA VITALS, INC.",,1R43HL180283-01,,Irvine,CA,926173206,,nih_reporter,,Joshua  Kim,,,,,,
"PARAMITA THERAPEUTICS, INC.",,1R43CA306207-01,,San Diego,CA,921114818,,nih_reporter,,Sang  Van,,,,,,
"ORPRO THERAPEUTICS, INC.",,1R41HL180185-01A1,,San Diego,CA,921211126,,nih_reporter,,Peter B Heifetz,,,,,,
"PRODIGY BIOTECH, INC.",,1R41AI191973-01,,West Chester,PA,193821982,,nih_reporter,,Satishchandran  Chandrasekhar,,,,,,
"VISHENARY, LLC",,1R41AI188733-01A1,,Hockessin,DE,197072211,,nih_reporter,,Brian  Akerley,,,,,,
SPIRIFY PHARMA INC,,1R41NS145804-01,,Naples,FL,341081852,,nih_reporter,,Lawrence R Toll,,,,,,
"MATRISOME BIO, INC.",,1R44CA298532-01A1,,Cambridge,MA,02139,,nih_reporter,,Noor  Jailkhani,,,,,,
"INNOVATIVE DESIGN LABS, INC.",,1R44MD020606-01,,Minneapolis,MN,554144497,,nih_reporter,,John Paul Condon,,,,,,
RESPIRERX PHARMACEUTICALS INC.,,1R44NS143576-01,,Glen Rock,NJ,074521796,,nih_reporter,,Rok  Cerne,,,,,,
ANEKABIO LLC,,1R41NS143585-01,,Gainesville,FL,326080036,,nih_reporter,,Vijayendran  Chandran,,,,,,
"L2 DIAGNOSTICS, LLC",,1R41AI188982-01A1,,New Haven,CT,065300175,,nih_reporter,,Alejandro  Marin Lopez,,,,,,
"INNOVATIVE DESIGN LABS, INC.",,5R44MD020606-02,,Minneapolis,MN,554144497,,nih_reporter,,John Paul Condon,,,,,,
"GATEWAY BIO, INC.",,1R41AI181391-01A1,,Durham,NC,277122982,,nih_reporter,,Ashutosh  Chilkoti,,,,,,
