lab_name,category_focus,city,state,street_address,contact_name,contact_email,phone_number,website_url,source_registry
LAVIANA PHARMA,Contract Manufacturing,China - Jiangyan,,,,,,https://www.lavianacorp.com/,BioPharmGuy
BIOSYNTH,Contract Manufacturing,China - Jinan,,,,,,https://www.biosynth.com/,BioPharmGuy
ASYMBIO,Contract Manufacturing,China - Jinshan,,,,,,https://www.asymbio.com/,BioPharmGuy
AGNO PHARMA,Contract Manufacturing,China - Lianyungang,,,,,,https://agnopharma.com/,BioPharmGuy
JIUZHOU PHARMA,Contract Manufacturing,China - Linhai,,,,,,https://en.jiuzhoupharma.com/,BioPharmGuy
HOVIONE,Contract Manufacturing,China - Macau,,,,,,https://www.hovione.com/,BioPharmGuy
FRESENIUS KABI,Contract Manufacturing,China - Nanchang,,,,,,https://www.fresenius-kabi.com/,BioPharmGuy
ACCELEDEV,Contract Manufacturing,China - Nanjing,,,,,,https://www.acceledev.com/,BioPharmGuy
JIUZHOU PHARMA,Contract Manufacturing,China - Nanjing,,,,,,https://en.jiuzhoupharma.com/,BioPharmGuy
PHARMABLOCK,Contract Manufacturing,China - Nanjing,,,,,,https://www.pharmablock.com/,BioPharmGuy
PROBIO,Contract Manufacturing,China - Nanjing,,,,,,https://www.probiocdmo.com/,BioPharmGuy
UNITHER PHARMACEUTICALS,Contract Manufacturing,China - Nanjing,,,,,,https://www.unither-pharma.com/,BioPharmGuy
SIEGFRIED,Contract Manufacturing,China - Nantong,,,,,,https://www.siegfried.ch/,BioPharmGuy
THOUSAND OAKS BIOPHARMACEUTICALS,Contract Manufacturing,China - Nantong,,,,,,https://www.tobiopharm.com/,BioPharmGuy
UNI BIOSCIENCES,Contract Manufacturing,China - Pak Shek Kok,,,,,,https://www.uni-bioscience.com/en,BioPharmGuy
MABPLEX,Contract Manufacturing,China - Shandong,,,,,,https://mabplexinc.com/,BioPharmGuy
ACROBIOSYSTEMS,Contract Manufacturing,China - Shanghai,,,,,,https://acrobiosystems.com.cn/,BioPharmGuy
ATON,Contract Manufacturing,China - Shanghai,,,,,,https://atonbio.com/en/index.html,BioPharmGuy
BIBO PHARMA,Contract Manufacturing,China - Shanghai,,,,,,https://www.bibo-pharma.com/,BioPharmGuy
BIOFARMA GROUP,Contract Manufacturing,China - Shanghai,,,,,,https://www.biofarmagroup.com/en?from_nav=1,BioPharmGuy
BIRDOTECH,Contract Manufacturing,China - Shanghai,,,,,,https://www.birdotech.com/en/,BioPharmGuy
CHEMEXPRESS,Contract Manufacturing,China - Shanghai,,,,,,https://chemexpress.com/,BioPharmGuy
CS BIO,Contract Manufacturing,China - Shanghai,,,,,,https://www.csbio.com/,BioPharmGuy
LINKCHEM,Contract Manufacturing,China - Shanghai,,,,,,https://www.linkchem.cn/,BioPharmGuy
OBIO TECHNOLOGY,Contract Manufacturing,China - Shanghai,,,,,,https://www.obio-tech.com/,BioPharmGuy
REGEND,Contract Manufacturing,China - Shanghai,,,,,,http://www.regend.cn/,BioPharmGuy
VIWIT,Contract Manufacturing,China - Shanghai,,,,,,https://www.viwit.com/,BioPharmGuy
WUXI APPTEC,Contract Manufacturing,China - Shanghai,,,,,,https://www.wuxiapptec.com/,BioPharmGuy
ZENCORE BIOLOGICS,Contract Manufacturing,China - Shanghai,,,,,,https://zencorebio.com/,BioPharmGuy
CL BIOLOGICS,Contract Manufacturing,China - Shenzhen,,,,,,https://clbiologics.com/,BioPharmGuy
GILERO,Contract Manufacturing,China - Shenzhen,,,,,,https://www.gilero.com/,BioPharmGuy
HIPRO BIOTECHNOLOGY,Contract Manufacturing,China - Shijiazhuang,,,,,,https://www.hipro.us/,BioPharmGuy
AGNO PHARMA,Contract Manufacturing,China - Suzhou,,,,,,https://agnopharma.com/,BioPharmGuy
ALTRUIST BIOLOGICS,Contract Manufacturing,China - Suzhou,,,,,,https://www.altruistbio.com/,BioPharmGuy
BIOWORKSHOPS,Contract Manufacturing,China - Suzhou,,,,,,https://www.bioworkshops.com/,BioPharmGuy
HANDE SCIENCES,Contract Manufacturing,China - Suzhou,,,,,,https://www.handesciences.com/en/,BioPharmGuy
JIANGSU HILLGENE BIOPHARMA,Contract Manufacturing,China - Suzhou,,,,,,https://en.hillgene.com/,BioPharmGuy
JIUZHOU PHARMA,Contract Manufacturing,China - Suzhou,,,,,,https://en.jiuzhoupharma.com/,BioPharmGuy
PORTON ADVANCED SOLUTIONS,Contract Manufacturing,China - Suzhou,,,,,,https://www.portonadvanced.com/,BioPharmGuy
PORTON PHARMA SOLUTIONS,Contract Manufacturing,China - Suzhou,,,,,,https://www.portonpharma.com/en,BioPharmGuy
TE CONNECTIVITY,Contract Manufacturing,China - Suzhou,,,,,,https://www.te.com/en/home.html,BioPharmGuy
UBRIGENE,Contract Manufacturing,China - Suzhou,,,,,,https://www.ubrigene.com/,BioPharmGuy
WUXI APPTEC,Contract Manufacturing,China - Suzhou,,,,,,https://www.wuxiapptec.com/,BioPharmGuy
AUSUN PHARM,Contract Manufacturing,China - Taizhou,,,,,,https://www.ausunpharm.com/,BioPharmGuy
HISUN PHARMACEUTICALS,Contract Manufacturing,China - Taizhou,,,,,,https://www.hisunusa.com/,BioPharmGuy
JIUZHOU PHARMA,Contract Manufacturing,China - Taizhou,,,,,,https://en.jiuzhoupharma.com/,BioPharmGuy
ASYMCHEM,Contract Manufacturing,China - Tianjin,,,,,,https://www.asymchem.com/,BioPharmGuy
WUXI APPTEC,Contract Manufacturing,China - Tianjin,,,,,,https://www.wuxiapptec.com/,BioPharmGuy
CHIME BIOLOGICS,Contract Manufacturing,China - Wuhan,,,,,,https://chimebiologics.com/,BioPharmGuy
GENEVOYAGER,Contract Manufacturing,China - Wuhan,,,,,,https://www.genevoyager.ltd/,BioPharmGuy
FRESENIUS KABI,Contract Manufacturing,China - Wuxi,,,,,,https://www.fresenius-kabi.com/,BioPharmGuy
JIUZHOU PHARMA,Contract Manufacturing,China - Yancheng,,,,,,https://en.jiuzhoupharma.com/,BioPharmGuy
PORTON PHARMA SOLUTIONS,Contract Manufacturing,China - Yichun,,,,,,https://www.portonpharma.com/en,BioPharmGuy
PORTON PHARMA SOLUTIONS,Contract Manufacturing,China - Yingcheng,,,,,,https://www.portonpharma.com/en,BioPharmGuy
HENGDIAN GROUP,Contract Manufacturing,China - Zhejiang,,,,,,https://www.hengdian.com/en/business/medicine,BioPharmGuy
JIUZHOU PHARMA,Contract Manufacturing,China - Zhongshan,,,,,,https://en.jiuzhoupharma.com/,BioPharmGuy
CORDENPHARMA,Contract Manufacturing,Co - Boulder,,,,,,https://cordenpharma.com/,BioPharmGuy
KBI BIOPHARMA,Contract Manufacturing,Co - Boulder,,,,,,https://www.kbibiopharma.com,BioPharmGuy
KROMATID,Contract Manufacturing,Co - Boulder,,,,,,https://kromatid.com/,BioPharmGuy
MEDDUX,Contract Manufacturing,Co - Boulder,,,,,,https://meddux.com/,BioPharmGuy
CAMBREX,Contract Manufacturing,Co - Longmont,,,,,,https://www.cambrex.com/,BioPharmGuy
AKTIVAX,Contract Manufacturing,Co - Louisville,,,,,,https://www.aktivmedicalsystems.com/,BioPharmGuy
KBI BIOPHARMA,Contract Manufacturing,Co - Louisville,,,,,,https://www.kbibiopharma.com,BioPharmGuy
CONFLUENT MEDICAL TECHNOLOGIES,Contract Manufacturing,Costa Rica - Alajuela,,,,,,https://confluentmedical.com/,BioPharmGuy
VIANT MEDICAL,Contract Manufacturing,Costa Rica - Barreal De Heredia,,,,,,https://viantmedical.com/,BioPharmGuy
BAXTER,Contract Manufacturing,Costa Rica - Cartago,,,,,,https://www.baxter.com/,BioPharmGuy
BIOMERICS,Contract Manufacturing,Costa Rica - Cartago,,,,,,https://biomerics.com/,BioPharmGuy
TEGRA MEDICAL,Contract Manufacturing,Costa Rica - La Aurora De Heredia,,,,,,https://www.tegramedical.com/,BioPharmGuy
RESONETICS,Contract Manufacturing,Costa Rica - San Jose,,,,,,https://resonetics.com/,BioPharmGuy
CIRTEC MEDICAL,Contract Manufacturing,Ct - Enfield,,,,,,https://www.cirtecmed.com/,BioPharmGuy
ACME MONACO,Contract Manufacturing,Ct - New Britain,,,,,,https://acmemonaco.com/,BioPharmGuy
