ACCESSIONNUMBER,ENTITYNAME,CIK,STREET1,STREET2,CITY,STATEORCOUNTRY,ZIPCODE,TOTALAMOUNTSOLD,TOTALOFFERINGAMOUNT,FILING_DATE,source_quarter
0001713945-25-000001,"UBIVAC, INC.",0001713945,18183 S.W. BOONES FERRY ROAD,,PORTLAND,OR,97224,35000,4450000,11-MAR-2025,2025Q1
0001902402-25-000001,"Episteme Prognostics, Inc.",0001902402,760 Parkside Avenue,Suite 227C,Brooklyn,NY,11226,550000,2500000,10-MAR-2025,2025Q1
0002024431-25-000004,"Intrigue Health, Inc.",0002024431,13532 RUSSET LEAF LN,,SAN DIEGO,CA,92129,25000,200000,10-MAR-2025,2025Q1
0001437749-25-006621,"NRX Pharmaceuticals, Inc.",0001719406,1201 ORANGE STREET,SUITE 600,WILMINGTON,DE,19801,3500000,3500000,07-MAR-2025,2025Q1
0001939123-25-000002,"StimuSIL, Inc.",0001939123,"2810 Church Street, PMB 78535",,WILMINGTON,DE,19802,599988,599988,07-MAR-2025,2025Q1
0001823293-25-000001,Impulse Dynamics plc,0001823293,70 SIR JOHN ROGERSONS QUAY,,DUBLIN 2,L2,D02 R296,84130000,140000000,06-MAR-2025,2025Q1
0002059295-25-000002,Zucara Therapeutics Inc.,0002059295,1300-661 UNIVERSITY AVENUE,,TORONTO,A6,M5G 0B7,4999978,4999978,06-MAR-2025,2025Q1
0001767312-25-000001,"Native Cardio, Inc.",0001767312,868 106TH AVENUE N,SUITE 8,NAPLES,FL,34108,150000,1000000,05-MAR-2025,2025Q1
0001880432-25-000001,"MDC - Verte Fund, LLC",0001880432,300 W PRATT ST,STE 200,BALTIMORE,MD,21201,1027000,Indefinite,04-MAR-2025,2025Q1
0002058983-25-000001,"MB Holdings 2025, Inc.",0002058983,5413 CRENSHAW ROAD,,PASADENA,TX,77505,6165322,6165322,04-MAR-2025,2025Q1
0002028496-25-000001,"Veronica Holdings, LLC",0002028496,c/o SLR Capital Partners,"500 Park Avenue, 3rd Floor",NEW YORK,NY,10022,142311559,142311559,03-MAR-2025,2025Q1
