Establishment Name,"City, State/Zip",FEI,Establishment Status
LifeServe Blood Center,"Johnston, Iowa / 50131",1970355.0,ACTIVE
LifeServe Blood Center,"Sioux City, Iowa / 51106",1970344.0,ACTIVE
LifeServe Blood Center,"Aberdeen, South Dakota / 57401",3022881402.0,ACTIVE
Vitalant LifeSource,"Pittsburgh, Pennsylvania / 15220-3508",3015335082.0,INACTIVE
LifeSource dba Virginia Blood Services,"Roanoke, Virginia / 24019",3009883910.0,INACTIVE
"LifeSouth Community Blood Centers, Inc.","Birmingham, Alabama / 35209-6321",1000112695.0,ACTIVE
Littlefork Municipal Hospital Donor Center,"Littlefork, Minnesota / 56653",2177730.0,INACTIVE
"Manatee County Blood Bank, Inc., HCA L.W. Blake Hospital","Brandenton, Florida / 33529",1045419.0,INACTIVE
"Marine Biologicals, Inc.","Seaville, New Jersey / 08223",1000080649.0,INACTIVE
Miller-Dwan Hospital Med Ctr Donor Center,"Duluth, Minnesota / 55805",2177725.0,INACTIVE
"Mississippi Blood Services, Inc.","Greenville, Mississippi / 38701",3001511798.0,INACTIVE
"National Health Guard, Inc.","Tampa, Florida / 33603",1000151143.0,INACTIVE
"New York Blood Center, Inc.","Rye, New York / 10580",2473015.0,ACTIVE
"New York Blood Center, Inc.","Westbury, New York / 11590",2470902.0,ACTIVE
Norman County Blood Bank Donor Center,"Ada, Minnesota / 56510",2177713.0,INACTIVE
North Country Hospital Mississippi Headwaters Blood Bank,"Bemidji, Minnesota / 56601",3001509705.0,INACTIVE
North Shore Hospital Donor Center Gunflint Trail,"Grand Marais, Minnesota / 55604",2177712.0,INACTIVE
Northern Itasca Hospital Donor Center,"Bigfork, Minnesota / 56628",2177759.0,INACTIVE
Oklahoma Blood Institute,"Tulsa, Oklahoma / 74137-1902",3003949970.0,ACTIVE
Oklahoma Blood Institute Oklahoma Blood Institute Arkansas Blood Institute - Little Rock,"Little Rock, Arkansas / 72211",3011714312.0,ACTIVE
