entity_id,source_file,source_record_id,company_name,address_street,address_city,address_state
ENT-000074,biopharmguy_cros_standardized.csv,c7d7dc18fb6df8ce,ACROBIOSYSTEMS,,San Jose,CA
ENT-000074,biopharmguy_cros_standardized.csv,c7d7dc18fb6df8ce,ACROBIOSYSTEMS,,San Jose,CA
ENT-000074,biopharmguy_therapeutics_standardized.csv,c7d7dc18fb6df8ce,ACROBIOSYSTEMS,,San Jose,CA
ENT-000075,biopharmguy_cmos_standardized.csv,12143c9c13be055c,MEDEOLOGIX,,San Jose,CA
ENT-000076,biopharmguy_cmos_standardized.csv,715214b36583c8f7,MCGUFF PHARMACEUTICALS,,Santa Ana,CA
ENT-000077,biopharmguy_cmos_standardized.csv,35a103dd0b61ce60,TECOMET,,Santa Ana,CA
ENT-000078,biopharmguy_cmos_standardized.csv,b0bff19b945ab8db,AGILENT,,Santa Clara,CA
ENT-000079,biopharmguy_cmos_standardized.csv,0b0660faa447dbf7,CIRTEC MEDICAL,,Santa Clara,CA
ENT-000079,biopharmguy_cros_standardized.csv,0b0660faa447dbf7,CIRTEC MEDICAL,,Santa Clara,CA
ENT-000080,biopharmguy_cmos_standardized.csv,bc26c14764e45f62,DENDREON,,Seal Beach,CA
ENT-000080,biopharmguy_therapeutics_standardized.csv,bc26c14764e45f62,DENDREON,,Seal Beach,CA
ENT-000081,biopharmguy_cmos_standardized.csv,2013cac2c96fce0a,PISA USA,,Solana Beach,CA
ENT-000082,biopharmguy_cmos_standardized.csv,af9515fd0cd88225,CULTURE BIOSCIENCES,,South Sf,CA
ENT-000083,biopharmguy_cmos_standardized.csv,fda430bfe2ed6c22,FORMUREX,,Stockton,CA
ENT-000083,biopharmguy_cros_standardized.csv,fda430bfe2ed6c22,FORMUREX,,Stockton,CA
ENT-000084,biopharmguy_cmos_standardized.csv,1a07110915f02e2f,ZEBRASCI,,Temecula,CA
ENT-000084,fda_drug_registration_standardized.csv,3012343176,"ZebraSci, Inc.",27973 Diaz Rd.,Temecula,CA
ENT-000085,biopharmguy_cmos_standardized.csv,0cf402a4a2b297cd,FUJIFILM BIOTECHNOLOGIES,,Thousand Oaks,CA
ENT-000085,biopharmguy_cros_standardized.csv,0cf402a4a2b297cd,FUJIFILM BIOTECHNOLOGIES,,Thousand Oaks,CA
ENT-000086,biopharmguy_cmos_standardized.csv,fde6250de8ccd020,BACHEM,,Torrance,CA
ENT-000087,biopharmguy_cmos_standardized.csv,4b1b7c92e4e7c417,POLYPEPTIDE GROUP,,Torrance,CA
ENT-000087,biopharmguy_cros_standardized.csv,4b1b7c92e4e7c417,POLYPEPTIDE GROUP,,Torrance,CA
ENT-000088,biopharmguy_cmos_standardized.csv,9334b3a934c8c64c,VIANT MEDICAL,,Upland,CA
ENT-000089,biopharmguy_cmos_standardized.csv,2c86f3f3a3745e20,CORDENPHARMA,,Boulder,CO
ENT-000089,biopharmguy_cros_standardized.csv,2c86f3f3a3745e20,CORDENPHARMA,,Boulder,CO
ENT-000090,biopharmguy_cmos_standardized.csv,aff90d893b96e9e1,KBI BIOPHARMA,,Boulder,CO
ENT-000090,biopharmguy_cros_standardized.csv,aff90d893b96e9e1,KBI BIOPHARMA,,Boulder,CO
ENT-000090,biopharmguy_cros_standardized.csv,aff90d893b96e9e1,KBI BIOPHARMA,,Boulder,CO
ENT-000090,fda_drug_registration_standardized.csv,3011326133,"KBI Biopharma, Inc.",2500 Central Ave.,Boulder,CO
ENT-000091,biopharmguy_cmos_standardized.csv,733fc332b66a6255,KROMATID,,Boulder,CO
ENT-000091,biopharmguy_cros_standardized.csv,733fc332b66a6255,KROMATID,,Boulder,CO
ENT-000091,biopharmguy_cros_standardized.csv,733fc332b66a6255,KROMATID,,Boulder,CO
ENT-000092,biopharmguy_cmos_standardized.csv,2ff171ce627e6b74,MEDDUX,,Boulder,CO
ENT-000092,biopharmguy_cros_standardized.csv,2ff171ce627e6b74,MEDDUX,,Boulder,CO
ENT-000093,biopharmguy_cmos_standardized.csv,c03025ee3195d0bb,AGILENT,,Longmont,CO
ENT-000094,biopharmguy_cmos_standardized.csv,ac995235594ce1b7,CAMBREX,,Longmont,CO
