company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes,company_status,stage,one_liner,source_file
CREATE BIOSCIENCES,,8830f801d60e638f,,San Diego,CA,,US,biopharmguy_cmos,https://createbiosciences.com/,,,,,,,,biopharmguy_cmos_standardized.csv
HYGIA REAGENTS,,4bdc480b9d2872a5,,San Diego,CA,,US,biopharmguy_cmos,https://www.hygiareagents.com/,,,,,,,,biopharmguy_cmos_standardized.csv
NANOCOMPOSIX,,6df128363e86a0d7,,San Diego,CA,,US,biopharmguy_cmos,https://nanocomposix.com/,,,,,,,,biopharmguy_cmos_standardized.csv
PCI PHARMA SERVICES,,e08b31c5a5ef0338,,San Diego,CA,,US,biopharmguy_cmos,https://pci.com/,,,,,,,,biopharmguy_cmos_standardized.csv
POLARIS PHARMA,,8ab6366d5b77c5f4,,San Diego,CA,,US,biopharmguy_cmos,https://polarispharma.com/,,,,,,,,biopharmguy_cmos_standardized.csv
POLYPEPTIDE GROUP,,c438226b0dc3a8a3,,San Diego,CA,,US,biopharmguy_cmos,https://www.polypeptide.com/,,,,,,,,biopharmguy_cmos_standardized.csv
RESONETICS,,64ec6079f51c2eca,,San Diego,CA,,US,biopharmguy_cmos,https://resonetics.com/,,,,,,,,biopharmguy_cmos_standardized.csv
TANVEX BIOPHARMA,,aa1f43dc4da24bdd,,San Diego,CA,,US,biopharmguy_cmos,http://www.tanvex.com/,,,,,,,,biopharmguy_cmos_standardized.csv
VLP BIOTECH,,b8fdb0ff84db5d06,,San Diego,CA,,US,biopharmguy_cmos,http://www.vlpbiotech.com,,,,,,,,biopharmguy_cmos_standardized.csv
WACKER,,86b9482375211489,,San Diego,CA,,US,biopharmguy_cmos,https://www.wacker.com/cms/en-us/products/applications/contract-manufacturing/biotech/biotech-home.html,,,,,,,,biopharmguy_cmos_standardized.csv
WUXI APPTEC,,b5dc1e5bc7c3abbd,,San Diego,CA,,US,biopharmguy_cmos,https://www.wuxiapptec.com/,,,,,,,,biopharmguy_cmos_standardized.csv
ICOSAGEN CELL FACTORY,,707813d037bb42f4,,San Francisco,CA,,US,biopharmguy_cmos,https://www.icosagen.com/,,,,,,,,biopharmguy_cmos_standardized.csv
ACROBIOSYSTEMS,,c7d7dc18fb6df8ce,,San Jose,CA,,US,biopharmguy_cmos,https://acrobiosystems.com.cn/,,,,,,,,biopharmguy_cmos_standardized.csv
MEDEOLOGIX,,12143c9c13be055c,,San Jose,CA,,US,biopharmguy_cmos,https://medeologix.com/,,,,,,,,biopharmguy_cmos_standardized.csv
MCGUFF PHARMACEUTICALS,,715214b36583c8f7,,Santa Ana,CA,,US,biopharmguy_cmos,https://www.mcguffpharmaceuticals.com/,,,,,,,,biopharmguy_cmos_standardized.csv
TECOMET,,35a103dd0b61ce60,,Santa Ana,CA,,US,biopharmguy_cmos,https://www.tecomet.com/,,,,,,,,biopharmguy_cmos_standardized.csv
AGILENT,,b0bff19b945ab8db,,Santa Clara,CA,,US,biopharmguy_cmos,https://www.agilent.com/,,,,,,,,biopharmguy_cmos_standardized.csv
CIRTEC MEDICAL,,0b0660faa447dbf7,,Santa Clara,CA,,US,biopharmguy_cmos,https://www.cirtecmed.com/,,,,,,,,biopharmguy_cmos_standardized.csv
DENDREON,,bc26c14764e45f62,,Seal Beach,CA,,US,biopharmguy_cmos,https://www.dendreon.com/,,,,,,,,biopharmguy_cmos_standardized.csv
PISA USA,,2013cac2c96fce0a,,Solana Beach,CA,,US,biopharmguy_cmos,https://www.pisa-usa.com/,,,,,,,,biopharmguy_cmos_standardized.csv
CULTURE BIOSCIENCES,,af9515fd0cd88225,,South Sf,CA,,US,biopharmguy_cmos,https://www.culturebiosciences.com/,,,,,,,,biopharmguy_cmos_standardized.csv
FORMUREX,,fda430bfe2ed6c22,,Stockton,CA,,US,biopharmguy_cmos,http://www.formurex.com,,,,,,,,biopharmguy_cmos_standardized.csv
ZEBRASCI,,1a07110915f02e2f,,Temecula,CA,,US,biopharmguy_cmos,https://zebrasci.com/,,,,,,,,biopharmguy_cmos_standardized.csv
